id,teks,label,kategori
302,Benarkah penggunaan AI dalam tugas akademik tetap harus memperhatikan etika dan pemahaman pribadi.,valid,etika akademik
303,Tolong cek informasi ini: dosen pembimbing akademik membantu mahasiswa dalam merencanakan studi dan menyelesaikan kendala akademik.,valid,layanan akademik
304,"Tolong cek informasi ini: RPS atau Rencana Pembelajaran Semester berisi rencana pembelajaran, capaian, materi, dan evaluasi perkuliahan. Mohon dijelaskan secara singkat.",valid,perkuliahan
305,Ada informasi yang menyatakan bahwa Proposal penelitian digunakan untuk menjelaskan rencana penelitian sebelum pelaksanaan penelitian dilakukan. Mohon dijelaskan secara singkat.,valid,penelitian dan skripsi
306,Apakah benar bahwa semua informasi viral tentang kampus pasti benar karena banyak dibagikan.,tidak_valid,literasi digital
307,Mohon bantu periksa: Dosen pembimbing akademik membantu mahasiswa dalam merencanakan studi dan menyelesaikan kendala akademik. Mohon dijelaskan secara singkat.,valid,layanan akademik
308,Benarkah Nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
309,"Ada informasi yang menyatakan bahwa pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik.",valid,administrasi kampus
310,Apakah benar bahwa nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi.,tidak_valid,hoaks akademik
311,Beasiswa resmi hanya diberikan kepada mahasiswa yang menyebarkan pesan ke banyak grup.,tidak_valid,hoaks beasiswa
312,"Tolong cek informasi ini: Portal akademik digunakan mahasiswa untuk mengakses layanan seperti KRS, KHS, jadwal kuliah, dan informasi akademik. Mohon dijelaskan secara singkat.",valid,layanan akademik
313,Saya membaca kabar bahwa Semua informasi viral tentang kampus pasti benar karena banyak dibagikan. Mohon dijelaskan secara singkat.,tidak_valid,literasi digital
314,"Apakah informasi ini valid: RPS atau Rencana Pembelajaran Semester berisi rencana pembelajaran, capaian, materi, dan evaluasi perkuliahan. Mohon dijelaskan secara singkat.",valid,perkuliahan
315,Bisakah chatbot menilai informasi berikut: uKT adalah biaya pendidikan yang dibayarkan mahasiswa sesuai ketentuan perguruan tinggi.,valid,administrasi kampus
316,Ada informasi yang menyatakan bahwa mahasiswa baru wajib transfer uang ke nomor pribadi agar bisa mendapatkan akun akademik.,tidak_valid,hoaks akademik
317,Saya membaca kabar bahwa Informasi beasiswa tanpa penyelenggara jelas tetap dapat dipercaya jika terlihat menarik. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
318,"Pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik.",valid,administrasi kampus
319,Apakah benar bahwa praktikum membantu mahasiswa menerapkan teori ke dalam kegiatan percobaan atau praktik langsung.,valid,perkuliahan
320,Tolong cek informasi ini: Kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi. Mohon dijelaskan secara singkat.,valid,keamanan digital
321,Benarkah mahasiswa tidak perlu memeriksa sumber informasi jika judul berita terlihat meyakinkan.,tidak_valid,literasi digital
322,Saya mendapatkan informasi bahwa mahasiswa dapat membayar jasa untuk membuat skripsi agar cepat lulus.,tidak_valid,etika akademik
323,Berita yang hanya berasal dari pesan berantai perlu diperiksa ulang sebelum dipercaya.,valid,literasi digital
324,Di grup mahasiswa tertulis bahwa Password akun akademik harus dijaga kerahasiaannya agar tidak disalahgunakan pihak lain. Mohon dijelaskan secara singkat.,valid,keamanan digital
325,Saya mendapatkan informasi bahwa Jurnal ilmiah dapat digunakan sebagai referensi akademik karena memuat hasil penelitian yang telah dikaji secara ilmiah.,valid,sumber belajar
326,"Apakah benar bahwa RPS atau Rencana Pembelajaran Semester berisi rencana pembelajaran, capaian, materi, dan evaluasi perkuliahan. Mohon dijelaskan secara singkat.",valid,perkuliahan
327,Mohon bantu periksa: mata kuliah pilihan adalah mata kuliah yang dapat dipilih mahasiswa sesuai minat dan ketentuan kurikulum.,valid,perkuliahan
328,Ada informasi yang menyatakan bahwa mahasiswa perlu membaca modul atau bahan ajar sebelum mengikuti perkuliahan agar lebih siap memahami materi.,valid,perkuliahan
329,Mohon bantu periksa: mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah.,tidak_valid,keamanan digital
330,Apakah informasi ini valid: penggunaan AI dalam tugas akademik tetap harus memperhatikan etika dan pemahaman pribadi.,valid,etika akademik
331,Apakah benar bahwa proposal penelitian digunakan untuk menjelaskan rencana penelitian sebelum pelaksanaan penelitian dilakukan.,valid,penelitian dan skripsi
332,Saya membaca kabar bahwa uAS adalah Ujian Akhir Semester yang digunakan untuk mengevaluasi pemahaman mahasiswa setelah perkuliahan selesai.,valid,ujian dan nilai
333,Apakah benar bahwa Semua pengumuman kampus dari akun anonim dapat langsung dipercaya. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
334,Saya membaca kabar bahwa nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi.,tidak_valid,hoaks akademik
335,Mohon bantu periksa: mahasiswa perlu membandingkan informasi dari beberapa sumber sebelum mengambil keputusan akademik.,valid,literasi digital
336,"Tolong cek informasi ini: pembelajaran daring membutuhkan koneksi internet, perangkat pendukung, dan kedisiplinan mahasiswa.",valid,teknologi pendidikan
337,"Benarkah informasi kampus yang benar biasanya memiliki sumber, kontak, dan kanal resmi yang jelas.",valid,literasi digital
338,Saya membaca kabar bahwa Herregistrasi adalah proses pendaftaran ulang mahasiswa agar status akademiknya tetap aktif. Mohon dijelaskan secara singkat.,valid,administrasi kampus
339,Saya membaca kabar bahwa plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu.,tidak_valid,etika akademik
340,Ada informasi yang menyatakan bahwa iPS adalah Indeks Prestasi Semester yang menunjukkan capaian nilai mahasiswa dalam satu semester.,valid,ujian dan nilai
341,Di grup mahasiswa tertulis bahwa keterlambatan pengumpulan tugas dapat memengaruhi penilaian jika aturan tersebut tercantum dalam ketentuan mata kuliah.,valid,ujian dan nilai
342,"Ada informasi yang menyatakan bahwa Silabus berisi gambaran materi, capaian pembelajaran, metode penilaian, dan rencana kegiatan perkuliahan. Mohon dijelaskan secara singkat.",valid,perkuliahan
343,Tolong cek informasi ini: Pendaftaran seminar resmi hanya perlu membayar ke rekening pribadi tanpa informasi penyelenggara. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
344,Di grup mahasiswa tertulis bahwa Mata kuliah wajib adalah mata kuliah yang harus ditempuh mahasiswa sesuai kurikulum program studi. Mohon dijelaskan secara singkat.,valid,perkuliahan
345,"Saya membaca kabar bahwa Nilai akhir mata kuliah dapat dipengaruhi oleh tugas, kuis, praktikum, UTS, UAS, dan komponen penilaian lain. Mohon dijelaskan secara singkat.",valid,ujian dan nilai
346,Benarkah skripsi merupakan karya ilmiah mahasiswa yang disusun sebagai salah satu syarat penyelesaian studi sarjana.,valid,penelitian dan skripsi
347,Tolong cek informasi ini: Mahasiswa dapat mengisi KRS melalui tautan tidak resmi yang dibagikan di pesan berantai. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
348,"Bisakah chatbot menilai informasi berikut: rPS atau Rencana Pembelajaran Semester berisi rencana pembelajaran, capaian, materi, dan evaluasi perkuliahan.",valid,perkuliahan
349,"Tolong cek informasi ini: informasi valid biasanya memiliki sumber jelas, dapat diverifikasi, dan tidak menggunakan klaim berlebihan.",valid,literasi digital
350,Mohon bantu periksa: mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi.,tidak_valid,hoaks akademik
351,SKS adalah Satuan Kredit Semester yang menunjukkan beban studi suatu mata kuliah.,valid,layanan akademik
352,Saya mendapatkan informasi bahwa Nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
353,Apakah informasi ini valid: Skripsi merupakan karya ilmiah mahasiswa yang disusun sebagai salah satu syarat penyelesaian studi sarjana. Mohon dijelaskan secara singkat.,valid,penelitian dan skripsi
354,Apakah benar bahwa parafrase tetap memerlukan sitasi apabila gagasan yang digunakan berasal dari sumber lain.,valid,etika akademik
355,Apakah informasi ini valid: mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah.,tidak_valid,keamanan digital
356,Ada informasi yang menyatakan bahwa Skripsi merupakan karya ilmiah mahasiswa yang disusun sebagai salah satu syarat penyelesaian studi sarjana. Mohon dijelaskan secara singkat.,valid,penelitian dan skripsi
357,Di grup mahasiswa tertulis bahwa KRS adalah Kartu Rencana Studi yang berisi daftar mata kuliah yang diambil mahasiswa pada satu semester. Mohon dijelaskan secara singkat.,valid,layanan akademik
358,Tolong cek informasi ini: parafrase tetap memerlukan sitasi apabila gagasan yang digunakan berasal dari sumber lain.,valid,etika akademik
359,Saya membaca kabar bahwa iPK adalah Indeks Prestasi Kumulatif yang menunjukkan rata-rata prestasi akademik mahasiswa selama kuliah.,valid,ujian dan nilai
360,Tolong cek informasi ini: Mahasiswa tidak perlu mencantumkan sumber ketika menyalin tulisan dari jurnal. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
361,Mohon bantu periksa: Mahasiswa perlu logout dari akun akademik setelah menggunakan komputer umum. Mohon dijelaskan secara singkat.,valid,keamanan digital
362,Apakah informasi ini valid: pendaftaran seminar resmi hanya perlu membayar ke rekening pribadi tanpa informasi penyelenggara.,tidak_valid,hoaks digital
363,Tolong cek informasi ini: Informasi beasiswa tanpa penyelenggara jelas tetap dapat dipercaya jika terlihat menarik. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
364,Saya membaca kabar bahwa presensi kuliah digunakan untuk mencatat kehadiran mahasiswa dalam kegiatan perkuliahan.,valid,perkuliahan
365,"Mohon bantu periksa: asistensi praktikum biasanya membantu mahasiswa memahami prosedur, penggunaan alat, atau penyelesaian tugas praktikum.",valid,perkuliahan
366,Apakah informasi ini valid: Nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
367,Di grup mahasiswa tertulis bahwa Mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
368,Benarkah Mahasiswa dapat mengisi KRS melalui tautan tidak resmi yang dibagikan di pesan berantai. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
369,Tolong cek informasi ini: mahasiswa perlu memperbarui data pribadi melalui sistem resmi kampus jika terjadi perubahan data.,valid,administrasi kampus
370,IPK adalah Indeks Prestasi Kumulatif yang menunjukkan rata-rata prestasi akademik mahasiswa selama kuliah.,valid,ujian dan nilai
371,Benarkah kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan.,tidak_valid,hoaks beasiswa
372,"Saya mendapatkan informasi bahwa Pengumuman akademik resmi biasanya disampaikan melalui website kampus, fakultas, program studi, atau portal akademik.",valid,administrasi kampus
373,"Informasi valid biasanya memiliki sumber jelas, dapat diverifikasi, dan tidak menggunakan klaim berlebihan.",valid,literasi digital
374,Benarkah SKS adalah Satuan Kredit Semester yang menunjukkan beban studi suatu mata kuliah. Mohon dijelaskan secara singkat.,valid,layanan akademik
375,Tolong cek informasi ini: mahasiswa perlu membaca pedoman akademik agar memahami aturan studi.,valid,layanan akademik
376,Apakah benar bahwa Skripsi merupakan karya ilmiah mahasiswa yang disusun sebagai salah satu syarat penyelesaian studi sarjana. Mohon dijelaskan secara singkat.,valid,penelitian dan skripsi
377,"Apakah informasi ini valid: informasi kampus yang benar biasanya memiliki sumber, kontak, dan kanal resmi yang jelas.",valid,literasi digital
378,Saya mendapatkan informasi bahwa Herregistrasi adalah proses pendaftaran ulang mahasiswa agar status akademiknya tetap aktif. Mohon dijelaskan secara singkat.,valid,administrasi kampus
379,Benarkah praktikum membantu mahasiswa menerapkan teori ke dalam kegiatan percobaan atau praktik langsung.,valid,perkuliahan
380,Ada informasi yang menyatakan bahwa Berita yang hanya berasal dari pesan berantai perlu diperiksa ulang sebelum dipercaya. Mohon dijelaskan secara singkat.,valid,literasi digital
381,Apakah benar bahwa Password akun akademik harus dijaga kerahasiaannya agar tidak disalahgunakan pihak lain. Mohon dijelaskan secara singkat.,valid,keamanan digital
382,"Bisakah chatbot menilai informasi berikut: portal akademik digunakan mahasiswa untuk mengakses layanan seperti KRS, KHS, jadwal kuliah, dan informasi akademik.",valid,layanan akademik
383,Apakah benar bahwa informasi bantuan pendidikan yang meminta transfer ke rekening pribadi pasti resmi.,tidak_valid,hoaks beasiswa
384,Apakah benar bahwa MBKM memberikan kesempatan mahasiswa untuk belajar di luar program studi melalui kegiatan yang diakui sesuai ketentuan. Mohon dijelaskan secara singkat.,valid,karier mahasiswa
385,"Ada informasi yang menyatakan bahwa Portofolio dapat membantu mahasiswa menunjukkan pengalaman, proyek, dan keterampilan kepada calon pemberi kerja.",valid,karier mahasiswa
386,Ada informasi yang menyatakan bahwa mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah.,tidak_valid,keamanan digital
387,Apakah informasi ini valid: portal akademik resmi dapat diganti oleh link pendek yang dikirim nomor tidak dikenal.,tidak_valid,hoaks digital
388,Benarkah mahasiswa baru wajib transfer uang ke nomor pribadi agar bisa mendapatkan akun akademik.,tidak_valid,hoaks akademik
389,MBKM memberikan kesempatan mahasiswa untuk belajar di luar program studi melalui kegiatan yang diakui sesuai ketentuan.,valid,karier mahasiswa
390,"Apakah benar bahwa informasi beasiswa resmi biasanya mencantumkan penyelenggara, persyaratan, manfaat, dan kontak yang dapat diverifikasi.",valid,beasiswa
391,Bisakah chatbot menilai informasi berikut: mahasiswa baru wajib transfer uang ke nomor pribadi agar bisa mendapatkan akun akademik.,tidak_valid,hoaks akademik
392,Saya mendapatkan informasi bahwa KHS adalah Kartu Hasil Studi yang berisi nilai mata kuliah mahasiswa pada semester tertentu. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
393,Apakah informasi ini valid: mBKM memberikan kesempatan mahasiswa untuk belajar di luar program studi melalui kegiatan yang diakui sesuai ketentuan.,valid,karier mahasiswa
394,"Benarkah Dosen pembimbing skripsi membantu mahasiswa dalam proses penyusunan, perbaikan, dan penyelesaian skripsi. Mohon dijelaskan secara singkat.",valid,penelitian dan skripsi
395,"Bisakah chatbot menilai informasi berikut: Silabus berisi gambaran materi, capaian pembelajaran, metode penilaian, dan rencana kegiatan perkuliahan.",valid,perkuliahan
396,Bisakah chatbot menilai informasi berikut: iPS adalah Indeks Prestasi Semester yang menunjukkan capaian nilai mahasiswa dalam satu semester.,valid,ujian dan nilai
397,Saya mendapatkan informasi bahwa Mahasiswa perlu membaca modul atau bahan ajar sebelum mengikuti perkuliahan agar lebih siap memahami materi. Mohon dijelaskan secara singkat.,valid,perkuliahan
398,Benarkah Remedial dapat diberikan sesuai kebijakan dosen atau program studi apabila mahasiswa belum mencapai standar tertentu. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
399,Ada informasi yang menyatakan bahwa Mahasiswa dapat mengisi KRS melalui tautan tidak resmi yang dibagikan di pesan berantai. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
400,Tolong cek informasi ini: mahasiswa perlu logout dari akun akademik setelah menggunakan komputer umum.,valid,keamanan digital
401,Benarkah Mahasiswa harus mengirim foto kartu identitas dan password email ke nomor pribadi untuk aktivasi kuliah. Mohon dijelaskan secara singkat.,tidak_valid,keamanan digital
402,Saya membaca kabar bahwa Mahasiswa baru wajib transfer uang ke nomor pribadi agar bisa mendapatkan akun akademik. Mohon dijelaskan secara singkat.,tidak_valid,hoaks akademik
403,Saya mendapatkan informasi bahwa penggunaan AI dalam tugas akademik tetap harus memperhatikan etika dan pemahaman pribadi.,valid,etika akademik
404,Ada informasi yang menyatakan bahwa Pendaftaran seminar resmi hanya perlu membayar ke rekening pribadi tanpa informasi penyelenggara. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
405,Mahasiswa perlu logout dari akun akademik setelah menggunakan komputer umum.,valid,keamanan digital
406,Apakah benar bahwa akun palsu yang mengatasnamakan kampus dapat menjadi sumber utama informasi akademik.,tidak_valid,hoaks digital
407,Apakah benar bahwa mahasiswa perlu membandingkan informasi dari beberapa sumber sebelum mengambil keputusan akademik.,valid,literasi digital
408,Apakah benar bahwa Mahasiswa baru biasanya mengikuti kegiatan pengenalan kampus untuk memahami lingkungan akademik dan aturan perkuliahan. Mohon dijelaskan secara singkat.,valid,informasi kampus
409,Apakah benar bahwa Cuti akademik adalah izin berhenti sementara dari kegiatan perkuliahan sesuai ketentuan kampus. Mohon dijelaskan secara singkat.,valid,administrasi kampus
410,Tolong cek informasi ini: Diskusi kelas dapat membantu mahasiswa memahami materi melalui pertukaran pendapat dan argumentasi. Mohon dijelaskan secara singkat.,valid,perkuliahan
411,Apakah informasi ini valid: Mata kuliah pilihan adalah mata kuliah yang dapat dipilih mahasiswa sesuai minat dan ketentuan kurikulum. Mohon dijelaskan secara singkat.,valid,perkuliahan
412,Apakah informasi ini valid: mahasiswa perlu logout dari akun akademik setelah menggunakan komputer umum.,valid,keamanan digital
413,Bisakah chatbot menilai informasi berikut: UAS adalah Ujian Akhir Semester yang digunakan untuk mengevaluasi pemahaman mahasiswa setelah perkuliahan selesai.,valid,ujian dan nilai
414,Bisakah chatbot menilai informasi berikut: Akun resmi kampus biasanya memiliki identitas yang jelas dan terhubung dengan kanal resmi universitas. Mohon dijelaskan secara singkat.,valid,literasi digital
415,"Tolong cek informasi ini: Kejujuran akademik diperlukan dalam ujian, tugas, praktikum, dan penulisan karya ilmiah. Mohon dijelaskan secara singkat.",valid,etika akademik
416,Ada informasi yang menyatakan bahwa password akun akademik harus dijaga kerahasiaannya agar tidak disalahgunakan pihak lain.,valid,keamanan digital
417,Apakah informasi ini valid: Kode OTP beasiswa harus dikirim ke admin pribadi agar bantuan pendidikan dapat dicairkan. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
418,Ada informasi yang menyatakan bahwa Plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
419,Sitasi diperlukan untuk menunjukkan sumber rujukan dan menghindari plagiarisme.,valid,sumber belajar
420,Ada informasi yang menyatakan bahwa Mahasiswa tidak perlu memeriksa sumber informasi jika judul berita terlihat meyakinkan. Mohon dijelaskan secara singkat.,tidak_valid,literasi digital
421,Saya membaca kabar bahwa cuti akademik adalah izin berhenti sementara dari kegiatan perkuliahan sesuai ketentuan kampus.,valid,administrasi kampus
422,Saya mendapatkan informasi bahwa mahasiswa dapat mengisi KRS melalui tautan tidak resmi yang dibagikan di pesan berantai.,tidak_valid,hoaks akademik
423,Mahasiswa baru wajib transfer uang ke nomor pribadi agar bisa mendapatkan akun akademik.,tidak_valid,hoaks akademik
424,Benarkah mata kuliah pilihan adalah mata kuliah yang dapat dipilih mahasiswa sesuai minat dan ketentuan kurikulum.,valid,perkuliahan
425,Apakah benar bahwa informasi kelas pengganti sebaiknya dikonfirmasi kepada dosen pengampu atau program studi.,valid,perkuliahan
426,Saya membaca kabar bahwa magang dapat membantu mahasiswa memperoleh pengalaman kerja dan menerapkan ilmu yang dipelajari di perkuliahan.,valid,karier mahasiswa
427,Tolong cek informasi ini: Mahasiswa dapat membayar jasa untuk membuat skripsi agar cepat lulus. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
428,KRS adalah Kartu Rencana Studi yang berisi daftar mata kuliah yang diambil mahasiswa pada satu semester.,valid,layanan akademik
429,Apakah informasi ini valid: Semua pengumuman kampus dari akun anonim dapat langsung dipercaya. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
430,Ada informasi yang menyatakan bahwa diskusi kelas dapat membantu mahasiswa memahami materi melalui pertukaran pendapat dan argumentasi.,valid,perkuliahan
431,Di grup mahasiswa tertulis bahwa mahasiswa perlu memperhatikan prasyarat mata kuliah sebelum mengambil mata kuliah lanjutan.,valid,layanan akademik
432,Tolong cek informasi ini: Sitasi diperlukan untuk menunjukkan sumber rujukan dan menghindari plagiarisme. Mohon dijelaskan secara singkat.,valid,sumber belajar
433,Apakah informasi ini valid: Praktikum membantu mahasiswa menerapkan teori ke dalam kegiatan percobaan atau praktik langsung. Mohon dijelaskan secara singkat.,valid,perkuliahan
434,Saya membaca kabar bahwa Surat aktif kuliah biasanya digunakan sebagai bukti bahwa mahasiswa masih terdaftar aktif di perguruan tinggi. Mohon dijelaskan secara singkat.,valid,administrasi kampus
435,"Saya membaca kabar bahwa Portal akademik digunakan mahasiswa untuk mengakses layanan seperti KRS, KHS, jadwal kuliah, dan informasi akademik. Mohon dijelaskan secara singkat.",valid,layanan akademik
436,Portal akademik resmi dapat diganti oleh link pendek yang dikirim nomor tidak dikenal.,tidak_valid,hoaks digital
437,Bisakah chatbot menilai informasi berikut: password portal akademik boleh dibagikan kepada teman agar proses akademik lebih cepat.,tidak_valid,keamanan digital
438,Tolong cek informasi ini: kRS adalah Kartu Rencana Studi yang berisi daftar mata kuliah yang diambil mahasiswa pada satu semester.,valid,layanan akademik
439,Saya mendapatkan informasi bahwa Mahasiswa perlu memeriksa nilai melalui portal akademik atau sumber resmi yang disediakan kampus. Mohon dijelaskan secara singkat.,valid,ujian dan nilai
440,Bisakah chatbot menilai informasi berikut: jurnal ilmiah dapat digunakan sebagai referensi akademik karena memuat hasil penelitian yang telah dikaji secara ilmiah.,valid,sumber belajar
441,Di grup mahasiswa tertulis bahwa Dosen pembimbing akademik membantu mahasiswa dalam merencanakan studi dan menyelesaikan kendala akademik. Mohon dijelaskan secara singkat.,valid,layanan akademik
442,UAS adalah Ujian Akhir Semester yang digunakan untuk mengevaluasi pemahaman mahasiswa setelah perkuliahan selesai.,valid,ujian dan nilai
443,"Saya mendapatkan informasi bahwa Pembelajaran daring membutuhkan koneksi internet, perangkat pendukung, dan kedisiplinan mahasiswa. Mohon dijelaskan secara singkat.",valid,teknologi pendidikan
444,Benarkah Jurnal ilmiah dapat digunakan sebagai referensi akademik karena memuat hasil penelitian yang telah dikaji secara ilmiah. Mohon dijelaskan secara singkat.,valid,sumber belajar
445,Benarkah situs yang meminta PIN ATM untuk bantuan pendidikan dapat dipercaya jika tampilannya mirip website resmi.,tidak_valid,keamanan digital
446,Saya mendapatkan informasi bahwa pengumuman akademik dari screenshot tanpa sumber resmi dapat langsung dipercaya.,tidak_valid,hoaks digital
447,Apakah informasi ini valid: pengumuman akademik dari screenshot tanpa sumber resmi dapat langsung dipercaya.,tidak_valid,hoaks digital
448,Saya membaca kabar bahwa informasi beasiswa tanpa penyelenggara jelas tetap dapat dipercaya jika terlihat menarik.,tidak_valid,hoaks beasiswa
449,Apakah informasi ini valid: Presensi kuliah digunakan untuk mencatat kehadiran mahasiswa dalam kegiatan perkuliahan. Mohon dijelaskan secara singkat.,valid,perkuliahan
450,"Organisasi mahasiswa dapat menjadi wadah pengembangan soft skill, kepemimpinan, dan kerja sama.",valid,informasi kampus
451,Bisakah chatbot menilai informasi berikut: mahasiswa baru biasanya mengikuti kegiatan pengenalan kampus untuk memahami lingkungan akademik dan aturan perkuliahan.,valid,informasi kampus
452,Apakah benar bahwa Mahasiswa dapat membayar jasa untuk membuat skripsi agar cepat lulus. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
453,Tolong cek informasi ini: nilai KHS dapat dinaikkan secara otomatis melalui website tidak resmi.,tidak_valid,hoaks akademik
454,Ada informasi yang menyatakan bahwa mahasiswa tidak perlu mencantumkan sumber ketika menyalin tulisan dari jurnal.,tidak_valid,etika akademik
455,Apakah informasi ini valid: Kode OTP tidak boleh diberikan kepada orang lain karena dapat digunakan untuk mengakses akun pribadi. Mohon dijelaskan secara singkat.,valid,keamanan digital
456,Saya membaca kabar bahwa surat aktif kuliah biasanya digunakan sebagai bukti bahwa mahasiswa masih terdaftar aktif di perguruan tinggi.,valid,administrasi kampus
457,Password portal akademik boleh dibagikan kepada teman agar proses akademik lebih cepat.,tidak_valid,keamanan digital
458,Saya mendapatkan informasi bahwa mahasiswa baru wajib transfer uang ke nomor pribadi agar bisa mendapatkan akun akademik.,tidak_valid,hoaks akademik
459,Ada informasi yang menyatakan bahwa Portal akademik resmi dapat diganti oleh link pendek yang dikirim nomor tidak dikenal. Mohon dijelaskan secara singkat.,tidak_valid,hoaks digital
460,Saya mendapatkan informasi bahwa mahasiswa perlu membandingkan informasi dari beberapa sumber sebelum mengambil keputusan akademik.,valid,literasi digital
461,Semua informasi viral tentang kampus pasti benar karena banyak dibagikan.,tidak_valid,literasi digital
462,Tolong cek informasi ini: Tugas kuliah boleh sepenuhnya disalin dari internet tanpa membaca isinya. Mohon dijelaskan secara singkat.,tidak_valid,etika akademik
463,Bisakah chatbot menilai informasi berikut: Beasiswa resmi hanya diberikan kepada mahasiswa yang menyebarkan pesan ke banyak grup. Mohon dijelaskan secara singkat.,tidak_valid,hoaks beasiswa
464,Apakah informasi ini valid: password akun akademik harus dijaga kerahasiaannya agar tidak disalahgunakan pihak lain.,valid,keamanan digital
465,"Mohon bantu periksa: mahasiswa sebaiknya memeriksa informasi beasiswa melalui website resmi kampus, kementerian, atau lembaga penyelenggara.",valid,beasiswa
466,"Bisakah chatbot menilai informasi berikut: Asistensi praktikum biasanya membantu mahasiswa memahami prosedur, penggunaan alat, atau penyelesaian tugas praktikum.",valid,perkuliahan
467,Mahasiswa perlu memperhatikan prasyarat mata kuliah sebelum mengambil mata kuliah lanjutan.,valid,layanan akademik
468,Bisakah chatbot menilai informasi berikut: plagiarisme diperbolehkan selama tugas dikumpulkan tepat waktu.,tidak_valid,etika akademik
469,Saya membaca kabar bahwa berita yang hanya berasal dari pesan berantai perlu diperiksa ulang sebelum dipercaya.,valid,literasi digital
470,"Pembelajaran daring membutuhkan koneksi internet, perangkat pendukung, dan kedisiplinan mahasiswa.",valid,teknologi pendidikan
471,Ada informasi yang menyatakan bahwa Daftar pustaka digunakan untuk mencantumkan sumber referensi yang digunakan dalam karya ilmiah. Mohon dijelaskan secara singkat.,valid,sumber belajar
472,Di grup mahasiswa tertulis bahwa Tautan mencurigakan perlu dihindari jika meminta data pribadi atau mengarahkan ke domain tidak dikenal. Mohon dijelaskan secara singkat.,valid,keamanan digital
473,Apakah benar bahwa Sitasi diperlukan untuk menunjukkan sumber rujukan dan menghindari plagiarisme. Mohon dijelaskan secara singkat.,valid,sumber belajar
474,Bisakah chatbot menilai informasi berikut: transkrip nilai memuat daftar mata kuliah dan nilai yang telah diperoleh mahasiswa selama masa studi.,valid,ujian dan nilai
475,Saya membaca kabar bahwa akun palsu yang mengatasnamakan kampus dapat menjadi sumber utama informasi akademik.,tidak_valid,hoaks digital
476,Keterlambatan pengumpulan tugas dapat memengaruhi penilaian jika aturan tersebut tercantum dalam ketentuan mata kuliah.,valid,ujian dan nilai
477,"Bisakah chatbot menilai informasi berikut: Kejujuran akademik diperlukan dalam ujian, tugas, praktikum, dan penulisan karya ilmiah. Mohon dijelaskan secara singkat.",valid,etika akademik
478,Mahasiswa perlu membandingkan informasi dari beberapa sumber sebelum mengambil keputusan akademik.,valid,literasi digital
479,Saya membaca kabar bahwa kHS adalah Kartu Hasil Studi yang berisi nilai mata kuliah mahasiswa pada semester tertentu.,valid,ujian dan nilai
480,Saya mendapatkan informasi bahwa mahasiswa perlu membaca modul atau bahan ajar sebelum mengikuti perkuliahan agar lebih siap memahami materi.,valid,perkuliahan
481,Saya mendapatkan informasi bahwa mahasiswa dijamin lulus semua mata kuliah jika membayar biaya tambahan ke rekening pribadi.,tidak_valid,hoaks akademik
